indicator,gender,ageMonths,L,M,S,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
WEIGHT_FOR_AGE,FEMALE,14,-0.2278,9.387,0.12294,6.6,7.4,8.3,9.4,10.6,12.1,13.8
WEIGHT_FOR_AGE,FEMALE,15,-0.2384,9.6008,0.12299,6.7,7.6,8.5,9.6,10.9,12.4,14.1
WEIGHT_FOR_AGE,FEMALE,16,-0.2478,9.8124,0.12303,6.9,7.7,8.7,9.8,11.1,12.6,14.5
WEIGHT_FOR_AGE,FEMALE,17,-0.2562,10.0226,0.12306,7,7.9,8.9,10,11.4,12.9,14.8
WEIGHT_FOR_AGE,FEMALE,18,-0.2637,10.2315,0.12309,7.2,8.1,9.1,10.2,11.6,13.2,15.1
WEIGHT_FOR_AGE,FEMALE,19,-0.2703,10.4393,0.12315,7.3,8.2,9.2,10.4,11.8,13.5,15.4
WEIGHT_FOR_AGE,FEMALE,20,-0.2762,10.6464,0.12323,7.5,8.4,9.4,10.6,12.1,13.7,15.7
WEIGHT_FOR_AGE,FEMALE,21,-0.2815,10.8534,0.12335,7.6,8.6,9.6,10.9,12.3,14,16
WEIGHT_FOR_AGE,FEMALE,22,-0.2862,11.0608,0.1235,7.8,8.7,9.8,11.1,12.5,14.3,16.4
WEIGHT_FOR_AGE,FEMALE,23,-0.2903,11.2688,0.12369,7.9,8.9,10,11.3,12.8,14.6,16.7
WEIGHT_FOR_AGE,FEMALE,24,-0.2941,11.4775,0.1239,8.1,9,10.2,11.5,13,14.8,17
WEIGHT_FOR_AGE,FEMALE,25,-0.2975,11.6864,0.12414,8.2,9.2,10.3,11.7,13.3,15.1,17.3
WEIGHT_FOR_AGE,FEMALE,26,-0.3005,11.8947,0.12441,8.4,9.4,10.5,11.9,13.5,15.4,17.7
WEIGHT_FOR_AGE,FEMALE,27,-0.3032,12.1015,0.12472,8.5,9.5,10.7,12.1,13.7,15.7,18
WEIGHT_FOR_AGE,FEMALE,28,-0.3057,12.3059,0.12506,8.6,9.7,10.9,12.3,14,16,18.3
WEIGHT_FOR_AGE,FEMALE,29,-0.308,12.5073,0.12545,8.8,9.8,11.1,12.5,14.2,16.2,18.7
WEIGHT_FOR_AGE,FEMALE,30,-0.3101,12.7055,0.12587,8.9,10,11.2,12.7,14.4,16.5,19
WEIGHT_FOR_AGE,FEMALE,31,-0.312,12.9006,0.12633,9,10.1,11.4,12.9,14.7,16.8,19.3
WEIGHT_FOR_AGE,FEMALE,32,-0.3138,13.093,0.12683,9.1,10.3,11.6,13.1,14.9,17.1,19.6
WEIGHT_FOR_AGE,FEMALE,33,-0.3155,13.2837,0.12737,9.3,10.4,11.7,13.3,15.1,17.3,20
WEIGHT_FOR_AGE,FEMALE,34,-0.3171,13.4731,0.12794,9.4,10.5,11.9,13.5,15.4,17.6,20.3
WEIGHT_FOR_AGE,FEMALE,35,-0.3186,13.6618,0.12855,9.5,10.7,12,13.7,15.6,17.9,20.6
WEIGHT_FOR_AGE,FEMALE,36,-0.3201,13.8503,0.12919,9.6,10.8,12.2,13.9,15.8,18.1,20.9
WEIGHT_FOR_AGE,FEMALE,37,-0.3216,14.0385,0.12988,9.7,10.9,12.4,14,16,18.4,21.3
WEIGHT_FOR_AGE,FEMALE,38,-0.323,14.2265,0.13059,9.8,11.1,12.5,14.2,16.3,18.7,21.6
WEIGHT_FOR_AGE,FEMALE,39,-0.3243,14.414,0.13135,9.9,11.2,12.7,14.4,16.5,19,22
WEIGHT_FOR_AGE,FEMALE,40,-0.3257,14.601,0.13213,10.1,11.3,12.8,14.6,16.7,19.2,22.3
WEIGHT_FOR_AGE,FEMALE,41,-0.327,14.7873,0.13293,10.2,11.5,13,14.8,16.9,19.5,22.7
WEIGHT_FOR_AGE,FEMALE,42,-0.3283,14.9727,0.13376,10.3,11.6,13.1,15,17.2,19.8,23
WEIGHT_FOR_AGE,FEMALE,43,-0.3296,15.1573,0.1346,10.4,11.7,13.3,15.2,17.4,20.1,23.4
WEIGHT_FOR_AGE,FEMALE,44,-0.3309,15.341,0.13545,10.5,11.8,13.4,15.3,17.6,20.4,23.7
